Average_trafic_rate_src_dest,Absolute_num_packets_sent,Absolute_num_packets_dropped,Average_perpacket_delay,Average_neperian_logarithm,Percentile_10_per_packet,Percentile_20_per_packet,Percentile_50_per_packet,Percentile_80_per_packet,Percentile_90_per_packet,jitter,global_packets,global_losses,global_delay
0.510374,0.50586,0,0.448712,-0.946853,0.163402,0.226697,0.458825,0.62358,0.71899,0.047328,177.065,12.5022,1.76435
0.416887,0.41335,0,0.134454,-2.34709,0.03,0.03,0.169999,0.178147,0.255014,0.009433,73.8287,0,0.25152
0.503426,0.501772,0,0.112574,-2.51768,0.03,0.03,0.169999,0.169999,0.169999,0.006152,73.8287,0,0.25152
0.316995,0.316203,0,0.141676,-2.24199,0.03,0.03,0.169999,0.198393,0.268506,0.007995,73.8287,0,0.25152
0.587333,0.592331,0,0.227857,-1.787,0.042,0.044261,0.238,0.340744,0.422082,0.025376,73.8287,0,0.25152
0.103891,0.104613,0,0.16101,-2.14815,0.042,0.042,0.238,0.238,0.269926,0.01236,73.8287,0,0.25152
0.148183,0.147831,0,0.35736,-1.28313,0.072,0.106892,0.408,0.531131,0.61851,0.04824,73.8287,0,0.25152
0.516304,0.514896,0,0.296628,-1.48157,0.06,0.063625,0.339999,0.434344,0.512071,0.033438,73.8287,0,0.25152
0.424309,0.425769,0,0.229497,-1.77819,0.042,0.045814,0.238,0.34068,0.422174,0.025786,73.8287,0,0.25152
0.310184,0.311803,0,0.384024,-1.19388,0.072,0.137181,0.408,0.561004,0.669183,0.051369,73.8287,0,0.25152
0.586428,0.583683,0,0.346584,-1.30353,0.072,0.097041,0.408,0.500763,0.580984,0.041255,73.8287,0,0.25152
0.123415,0.122136,0,0.124242,-2.42305,0.03,0.03,0.169999,0.169999,0.208215,0.007819,97.3238,0.001312,0.294139
0.760267,0.760051,0,0.137217,-2.33754,0.03,0.03,0.169999,0.180925,0.268581,0.010379,97.3238,0.001312,0.294139
0.78577,0.78368,0,0.224572,-1.86731,0.03,0.04586,0.169999,0.336911,0.458093,0.032825,97.3238,0.001312,0.294139
0.8014,0.798301,0,0.274893,-1.59768,0.042,0.080919,0.238,0.402328,0.523969,0.038504,97.3238,0.001312,0.294139
0.648476,0.653719,0,0.18448,-1.98925,0.042,0.042,0.238,0.26342,0.330522,0.014991,97.3238,0.001312,0.294139
0.149619,0.14942,0,0.440285,-1.05577,0.084037,0.177955,0.417542,0.635528,0.768311,0.070586,97.3238,0.001312,0.294139
0.454651,0.450398,0,0.354721,-1.31623,0.06,0.11052,0.339999,0.506122,0.647985,0.05797,97.3238,0.001312,0.294139
0.716368,0.715701,0,0.278372,-1.57749,0.042,0.08775,0.238,0.405097,0.52827,0.038355,97.3238,0.001312,0.294139
0.237559,0.235109,0,0.43352,-1.06004,0.086794,0.184406,0.415727,0.618545,0.750061,0.064004,97.3238,0.001312,0.294139
0.599451,0.605019,0,0.557833,-0.945021,0.076277,0.165923,0.435789,0.773557,1.11999,0.253561,97.3238,0.001312,0.294139
0.366713,0.364415,0,0.118593,-2.47266,0.03,0.03,0.169999,0.169999,0.185187,0.007197,67.3941,0,0.245553
0.594455,0.591877,0,0.124744,-2.42513,0.03,0.03,0.169999,0.169999,0.213313,0.008141,67.3941,0,0.245553
0.273603,0.272892,0,0.153556,-2.21502,0.03,0.03,0.169999,0.216789,0.303681,0.01256,67.3941,0,0.245553
0.215608,0.21412,0,0.20246,-1.89412,0.042,0.042,0.238,0.291334,0.374876,0.018089,67.3941,0,0.245553
0.59586,0.594025,0,0.170131,-2.08181,0.042,0.042,0.238,0.238,0.292989,0.012942,67.3941,0,0.245553
0.154205,0.151263,0,0.337996,-1.3299,0.072,0.095432,0.408,0.499812,0.572516,0.03959,67.3941,0,0.245553
0.128127,0.128028,0,0.282349,-1.54629,0.06,0.06,0.339999,0.416791,0.49774,0.03259,67.3941,0,0.245553
0.157133,0.157827,0,0.19992,-1.9115,0.042,0.042,0.238,0.291346,0.372461,0.017908,67.3941,0,0.245553
0.455721,0.456151,0,0.32223,-1.39445,0.072,0.073435,0.408,0.47885,0.560541,0.038413,67.3941,0,0.245553
0.623237,0.627319,0,0.332194,-1.35922,0.072,0.086168,0.408,0.484456,0.569129,0.041181,67.3941,0,0.245553
0.228469,0.228469,0,0.111704,-2.5329,0.03,0.03,0.169999,0.169999,0.169999,0.006273,55.505,0,0.220018
0.307196,0.30601,0,0.120584,-2.45384,0.03,0.03,0.169999,0.169999,0.195194,0.007405,55.505,0,0.220018
0.321926,0.322978,0,0.167084,-2.19932,0.03,0.03,0.169999,0.230676,0.334371,0.022852,55.505,0,0.220018
0.481191,0.479125,0,0.211882,-1.89606,0.042,0.042,0.238,0.296365,0.398051,0.027177,55.505,0,0.220018
0.499975,0.502213,0,0.167535,-2.10814,0.042,0.042,0.238,0.238,0.28382,0.013767,55.505,0,0.220018
0.48918,0.488032,0,0.351872,-1.32382,0.072,0.086809,0.408,0.520331,0.628465,0.053679,55.505,0,0.220018
0.201846,0.202459,0,0.247096,-1.71133,0.06,0.06,0.339999,0.341327,0.446728,0.029002,55.505,0,0.220018
0.496713,0.501284,0,0.192186,-1.94853,0.042,0.042,0.238,0.277039,0.355171,0.01631,55.505,0,0.220018
0.430721,0.427814,0,0.322698,-1.38415,0.072,0.081319,0.408,0.479828,0.555647,0.037509,55.505,0,0.220018
0.243557,0.24459,0,0.288865,-1.52571,0.072,0.072,0.408,0.424189,0.50585,0.033596,55.505,0,0.220018
0.90139,0.899318,0,0.140686,-2.3089,0.03,0.03,0.169999,0.188474,0.276588,0.010706,99.3042,0.000674,0.32648
0.515649,0.515382,0,0.141887,-2.30357,0.03,0.03,0.169999,0.188782,0.280037,0.011188,99.3042,0.000674,0.32648
0.701336,0.706148,0,0.224353,-1.86867,0.03,0.045018,0.169999,0.33561,0.45503,0.033141,99.3042,0.000674,0.32648
0.582387,0.582367,0,0.273512,-1.60277,0.042,0.079392,0.238,0.400208,0.518652,0.03838,99.3042,0.000674,0.32648
0.650103,0.647548,0,0.194048,-1.935,0.042,0.042,0.238,0.2774,0.354745,0.016226,99.3042,0.000674,0.32648
0.517868,0.517991,0,0.405761,-1.14027,0.072,0.152814,0.408,0.581608,0.710128,0.059835,99.3042,0.000674,0.32648
0.815743,0.814789,0,0.415878,-1.15861,0.06,0.158903,0.358643,0.602119,0.783366,0.082717,99.3042,0.000674,0.32648
0.399397,0.40148,0,0.271262,-1.61553,0.042,0.07251,0.238,0.399011,0.516765,0.037583,99.3042,0.000674,0.32648
0.221662,0.220872,0,0.396607,-1.17061,0.072,0.140674,0.408,0.572087,0.699253,0.058441,99.3042,0.000674,0.32648
0.432828,0.430765,0,0.472667,-0.994552,0.092929,0.195164,0.431883,0.674707,0.850377,0.091946,99.3042,0.000674,0.32648
0.290478,0.290065,0,0.193813,-1.98826,0.03,0.03,0.169999,0.299276,0.379796,0.020963,178.448,13.1915,1.79283
0.602817,0.601807,0,0.191705,-2.00232,0.03,0.03,0.169999,0.296448,0.373873,0.021264,178.448,13.1915,1.79283
0.421475,0.418531,0.04172,2.61681,0.889263,1.50255,2.00198,2.74991,3.27304,3.5046,0.622351,178.448,13.1915,1.79283
0.701109,0.703189,0.071621,2.68417,0.921083,1.59259,2.08224,2.80864,3.33396,3.56904,0.609644,178.448,13.1915,1.79283
0.941043,0.94086,0,0.259404,-1.6124,0.042,0.091613,0.238,0.380506,0.469105,0.027741,178.448,13.1915,1.79283
1.01233,1.00958,0.145536,3.36123,1.19048,2.54034,2.8647,3.40481,3.89215,4.13554,0.416012,178.448,13.1915,1.79283
0.638617,0.641964,0,0.413442,-1.06248,0.124585,0.202481,0.405111,0.581405,0.694142,0.048601,178.448,13.1915,1.79283
1.77413,1.77335,0.178983,2.69538,0.926019,1.59106,2.0943,2.82102,3.34818,3.58767,0.617362,178.448,13.1915,1.79283
0.505342,0.507362,0.051455,2.98416,1.03855,1.82753,2.33326,3.07735,3.66899,3.95921,0.707674,178.448,13.1915,1.79283
1.03553,1.03816,0.048987,1.52144,0.162834,0.41411,0.614845,1.35824,2.34892,2.87076,0.948795,178.448,13.1915,1.79283
0.649513,0.650655,0,0.185408,-2.03741,0.03,0.03,0.169999,0.284308,0.358137,0.020335,141.26,2.36325,0.649219
0.738242,0.739618,0,0.171468,-2.15031,0.03,0.03,0.169999,0.253396,0.339767,0.020224,141.26,2.36325,0.649219
1.25115,1.25184,0.068201,1.03953,-0.246288,0.223335,0.419121,1.00246,1.61382,1.89106,0.391506,141.26,2.36325,0.649219
0.752852,0.751326,0.039817,1.09472,-0.157205,0.275647,0.471875,1.06086,1.67253,1.95745,0.395875,141.26,2.36325,0.649219
1.11615,1.11549,0,0.229157,-1.78019,0.042,0.04801,0.238,0.332412,0.420073,0.026259,141.26,2.36325,0.649219
1.11521,1.11861,0.059298,1.31039,0.096443,0.461907,0.67859,1.27633,1.90922,2.20589,0.439344,141.26,2.36325,0.649219
0.426689,0.42942,0,0.47988,-0.989538,0.09686,0.214805,0.425569,0.69533,0.890194,0.099995,141.26,2.36325,0.649219
0.390108,0.389649,0.019817,1.09366,-0.154434,0.285306,0.471682,1.05214,1.66926,1.95823,0.397493,141.26,2.36325,0.649219
0.383535,0.385167,0.020914,1.2991,0.082544,0.445114,0.661663,1.26645,1.89693,2.19118,0.444074,141.26,2.36325,0.649219
